,book title,writter,narrator,audio_length,release_date,book language,review stars,num of ratings,price
0,Atomic Habits,James Clear,James Clear,5 hrs and 35 mins,18-10-18,English,5,"16,554",₹820.00
1,The Psychology of Money,Morgan Housel,Chris Hill,5 hrs and 48 mins,08-09-20,English,4.5,"8,598",₹668.00
2,How to Talk to Anyone,Leil Lowndes,"Joyce Bean, Leil Lowndes",8 hrs and 59 mins,01-09-15,English,4.5,963,₹844.00
3,Ikigai,"Héctor García, Francesc Miralles",Naoko Mori,3 hrs and 23 mins,18-09-17,English,4.5,"8,276",₹615.00
4,Don't Believe Everything You Think,Joseph Nguyen,Joseph Nguyen,2 hrs and 16 mins,13-04-22,English,4.5,250,₹233.00
5,Rich Dad Poor Dad,Robert T. Kiyosaki,Tim Wheeler,6 hrs and 9 mins,15-06-12,English,4.5,"6,494",₹844.00
6,The 5 AM Club,Robin Sharma,Adam Verner,11 hrs and 4 mins,06-12-18,English,4.5,"1,243",₹645.00
7,The Courage to Be Disliked ,"Fumitake Koga, Ichiro Kishimi",Adrian Mulraney,6 hrs and 50 mins,22-02-18,English,4.5,"1,168","₹1,063.00"
8,Dune,Frank Herbert,"Scott Brick, Orlagh Cassidy, Euan Morton, Simon Vance, Ilyana Kadushin, Byron Jennings, David R. Gordon, Jason Culp, Kent Broadhurst, Oliver Wyman, Patricia Kilgarriff, Scott Sowers",21 hrs and 2 mins,31-12-06,English,4.5,504,₹301.00
9,Sapiens,Yuval Noah Harari,Derek Perkins,15 hrs and 18 mins,30-04-15,English,5,"6,499",₹957.00
10,The Power of Your Subconscious Mind,Joseph Murphy,Mark White,7 hrs and 13 mins,06-11-19,English,4.5,828,₹267.00
11,"Thinking, Fast and Slow",Daniel Kahneman,Patrick Egan,20 hrs and 4 mins,23-12-11,English,4.5,854,₹957.00
12,The Subtle Art of Not Giving a F*ck,Mark Manson,Roger Wayne,5 hrs and 17 mins,13-09-16,English,4.5,"4,804","₹1,238.00"
13,The 48 Laws of Power,Robert Greene,Don Leslie,9 hrs and 52 mins,25-04-07,English,4.5,99,₹773.00
14,Make Epic Money,Ankur Warikoo,Ankur Warikoo,4 hrs and 2 mins,30-01-24,English,4.5,16,₹879.00
15,The Intelligent Investor Rev Ed.,Benjamin Graham,Luke Daniels,17 hrs and 48 mins,07-07-15,English,4.5,401,"₹2,194.00"
16,Life's Amazing Secrets,Gaur Gopal Das,Gaur Gopal Das,6 hrs and 25 mins,10-12-19,English,4.5,"5,337","₹1,005.00"
17,Slow Productivity,Cal Newport,Cal Newport,6 hrs and 18 mins,07-03-24,English,5,3,₹957.00
18,Hyperfocus,Chris Bailey,Chris Bailey,6 hrs and 39 mins,06-09-18,English,4.5,"1,309",₹323.00
19,Can't Hurt Me,David Goggins,"David Goggins, Adam Skolnick",13 hrs and 37 mins,28-11-18,English,5,"3,360",₹836.00
20,Same as Ever,Morgan Housel,Chris Hill,5 hrs and 46 mins,07-11-23,English,4.5,128,₹323.00
21,Feel-Good Productivity,Ali Abdaal,Ali Abdaal,5 hrs and 30 mins,28-12-23,English,4.5,93,₹957.00
22,Zero to One,"Peter Thiel, Blake Masters",Blake Masters,4 hrs and 50 mins,04-06-15,English,4.5,"2,275",₹615.00
23,Chanakya Neeti,Acharya Chanakya,Rishi Upadhyay,5 hrs and 2 mins,28-07-18,Hindi,4.5,564,₹225.00
24,Never Split the Difference,"Chris Voss, Tahl Raz",Michael Kramer,8 hrs and 7 mins,20-06-19,English,4.5,"1,306",₹820.00
25,The Almanack of Naval Ravikant,"Eric Jorgenson, Tim Ferriss",Vikas Adam,4 hrs and 53 mins,01-03-21,English,4.5,"1,666",₹586.00
26,The Art of Focus,Dan Koe,Dan Koe,6 hrs and 52 mins,16-01-24,English,5,5,₹668.00
27,Energize Your Mind,Gaur Gopal Das,Gaur Gopal Das,10 hrs and 20 mins,10-01-23,English,4.5,221,₹879.00
28,The Alchemist,Paulo Coelho,Jeremy Irons,4 hrs,26-12-04,English,4.5,"1,867","₹1,069.00"
29,Million Dollar Weekend,Noah Kagan,Noah Kagan,4 hrs and 33 mins,30-01-24,English,5,15,₹957.00
30,Dopamine Detox,Thibaut Meurisse,Joshua Alexander,1 hr and 5 mins,26-08-21,English,4.5,152,₹233.00
31,Think and Grow Rich,Napoleon Hill,Russ Williams,10 hrs and 15 mins,01-09-17,English,4.5,667,₹166.00
32,The Hidden Hindu,Akshat Gupta,Vivek Bhatia,5 hrs and 36 mins,29-03-23,English,4,153,₹879.00
33,Generative AI,Harvard Business Review,"Randye Kaye, Mike Lenz",3 hrs and 4 mins,27-02-24,English,,,₹351.00
34,Start with Why,Simon Sinek,Simon Sinek,7 hrs and 18 mins,21-10-21,English,4.5,401,₹888.00
